ÍTEM	Número	Archivo	BIN	HEX
169	0	TC3	0	0
170	27	TC3	11011	1B
171	30	TC3	11110	1E
172	12	TC3	1100	C
173	-15	TC3		
174	-19	TC3		
175	-42	TC3		
176	-37	TC3		
177	31	TC3	11111	1F
178	-10	TC3		
179	18	TC3	10010	12
180	33	TC3	100001	21
181	-15	TC3		
182	17	TC3	10001	11
183	25	TC3	11001	19
184	-25	TC3		
185	-5	TC3		
186	33	TC3	100001	21
187	-13	TC3		
188	33	TC3	100001	21
189	-10	TC3		
190	47	TC3	101111	2F
191	47	TC3	101111	2F
192	-13	TC3		
193	-32	TC3		
194	1	TC3	1	1
195	1	TC3	1	1
196	-25	TC3		
197	-33	TC3		
198	16	TC3	10000	10
199	17	TC3	10001	11
200	4	TC3	100	4
1	-39	TC4		
2	-36	TC4		
3	8	TC4	1000	8
4	34	TC4	100010	22
5	17	TC4	10001	11
6	49	TC4	110001	31
7	5	TC4	101	5
9	0	TC4	0	0
10	33	TC4	100001	21
11	12	TC4	1100	C
12	-6	TC4		
13	27	TC4	11011	1B
14	-4	TC4		
15	-38	TC4		
16	26	TC4	11010	1A
17	49	TC4	110001	31
18	29	TC4	11101	1D
19	42	TC4	101010	2A
20	-16	TC4		
22	34	TC4	100010	22
23	20	TC4	10100	14
24	0	TC4	0	0
25	25	TC4	11001	19
26	45	TC4	101101	2D
27	3	TC4	11	3
28	-46	TC4		
29	-46	TC4		
30	29	TC4	11101	1D
31	33	TC4	100001	21
32	29	TC4	11101	1D
33	26	TC4	11010	1A
34	-5	TC4		
35	-36	TC4		
36	12	TC4	1100	C
37	45	TC4	101101	2D
38	-50	TC4		
39	0	TC4	0	0
40	-6	TC4		
Tiempo transcurrido: 0.032102 segundos
